model,year,transmission,mileage,fuelType,tax,mpg,engineSize
 2 Series,2020,Semi-Auto,102,Diesel,145,49.6,2
 3 Series,2020,Semi-Auto,102,Diesel,145,50.4,2
 1 Series,2018,Semi-Auto,7700,Petrol,145,36.7,1.5
 X4,2020,Semi-Auto,100,Petrol,145,24.8,3
 X1,2019,Semi-Auto,4183,Diesel,145,65.7,2
 X2,2018,Semi-Auto,21271,Diesel,145,58.9,2
 i3,2017,Automatic,20082,Hybrid,135,470.8,0
 3 Series,2020,Semi-Auto,1898,Petrol,145,41.5,2
 4 Series,2015,Semi-Auto,44800,Diesel,145,53.3,3
 2 Series,2019,Semi-Auto,2236,Diesel,145,47.1,2
 X3,2020,Semi-Auto,4360,Hybrid,135,5.5,2
 2 Series,2019,Semi-Auto,2469,Diesel,145,52.3,2
 X4,2019,Automatic,3502,Diesel,145,42.8,2
 2 Series,2019,Automatic,2048,Diesel,145,51.4,2
 X2,2018,Semi-Auto,5000,Diesel,145,50.4,2
 1 Series,2018,Semi-Auto,29869,Diesel,150,65.7,2
 4 Series,2016,Semi-Auto,26044,Diesel,205,47.9,3
 4 Series,2018,Semi-Auto,16701,Diesel,145,65.7,2
 2 Series,2015,Semi-Auto,29538,Petrol,200,43.5,2
 7 Series,2019,Automatic,4330,Diesel,145,41.5,3
 X3,2016,Semi-Auto,33421,Diesel,150,54.3,2
 3 Series,2018,Automatic,7794,Petrol,145,47.9,2
 6 Series,2016,Automatic,17264,Petrol,325,32.1,4.4
 3 Series,2015,Semi-Auto,27536,Petrol,200,41.5,3
 2 Series,2019,Automatic,2000,Diesel,145,49.6,2
 X5,2019,Semi-Auto,10175,Diesel,145,37.7,3
 Z4,2019,Semi-Auto,3140,Petrol,145,33.2,3
 3 Series,2019,Automatic,7900,Petrol,145,34.9,3
 X1,2020,Semi-Auto,2364,Diesel,145,65.7,2
 3 Series,2020,Semi-Auto,100,Petrol,145,42.2,2
 X5,2019,Semi-Auto,1606,Hybrid,135,188.3,3
 1 Series,2019,Semi-Auto,5100,Diesel,145,72.4,1.5
 2 Series,2019,Semi-Auto,6100,Diesel,145,62.8,2
 1 Series,2020,Semi-Auto,102,Petrol,145,40.4,1.5
 1 Series,2020,Semi-Auto,102,Petrol,145,42.8,1.5
 2 Series,2015,Semi-Auto,23742,Petrol,125,51.4,1.5
 X1,2013,Manual,72834,Diesel,160,51.4,2
 5 Series,2014,Automatic,36450,Diesel,30,62.8,2
 2 Series,2018,Semi-Auto,15609,Diesel,150,49.6,2
 3 Series,2017,Semi-Auto,26321,Diesel,150,56.5,3
 5 Series,2015,Semi-Auto,43836,Diesel,30,62.8,2
 3 Series,2015,Semi-Auto,33836,Diesel,125,60.1,2
 X2,2019,Semi-Auto,6321,Diesel,145,58.9,2
 X5,2019,Automatic,10923,Diesel,145,37.7,3
 4 Series,2019,Automatic,4767,Petrol,145,48.7,2
 X1,2019,Automatic,3195,Diesel,145,60.1,2
 3 Series,2019,Semi-Auto,8576,Diesel,145,49.6,2
 2 Series,2018,Automatic,4828,Hybrid,135,113,1.5
 3 Series,2017,Semi-Auto,34134,Diesel,145,53.3,3
 2 Series,2019,Semi-Auto,10539,Petrol,145,47.9,2
 2 Series,2019,Manual,2033,Petrol,145,52.3,1.5
 2 Series,2018,Semi-Auto,25029,Petrol,145,39.8,3
 X5,2019,Automatic,6650,Diesel,145,37.7,3
 1 Series,2016,Semi-Auto,9097,Petrol,200,39.8,3
 1 Series,2019,Automatic,4260,Diesel,145,48.7,2
 X6,2019,Automatic,4509,Diesel,145,34.9,3
 X2,2019,Automatic,4501,Petrol,145,39.2,2
 M5,2019,Automatic,1501,Petrol,145,24.1,4.4
 X1,2019,Semi-Auto,3796,Diesel,145,36.7,2
 X1,2015,Semi-Auto,48102,Diesel,160,52.3,2
 2 Series,2020,Semi-Auto,1500,Petrol,150,50.4,1.5
 1 Series,2014,Semi-Auto,35093,Diesel,125,60.1,2
 4 Series,2018,Automatic,35423,Diesel,145,55.4,3
 1 Series,2019,Manual,1300,Petrol,145,44.1,1.5
 X2,2019,Semi-Auto,14230,Diesel,145,58.9,2
 X1,2020,Semi-Auto,100,Diesel,145,36.7,2
 X3,2019,Semi-Auto,7536,Petrol,145,24.8,3
 2 Series,2019,Semi-Auto,2504,Diesel,145,68.9,2
 M4,2020,Semi-Auto,1200,Petrol,145,32.5,3
 X7,2020,Semi-Auto,1000,Petrol,145,24.8,3
 1 Series,2019,Manual,3731,Petrol,145,53.3,1.5
 2 Series,2019,Semi-Auto,4560,Petrol,145,50.4,1.5
 X5,2015,Semi-Auto,22103,Petrol,570,25.4,4.4
 1 Series,2019,Semi-Auto,1000,Petrol,145,34.5,2
 3 Series,2019,Semi-Auto,1000,Petrol,150,42.2,2
 3 Series,2016,Semi-Auto,25145,Diesel,160,51.4,3
 7 Series,2019,Semi-Auto,3000,Diesel,145,41.5,3
 4 Series,2017,Semi-Auto,23039,Diesel,145,55.4,3
 1 Series,2019,Manual,2282,Petrol,145,53.3,1.5
 2 Series,2019,Manual,1000,Petrol,145,42.8,1.5
 5 Series,2019,Semi-Auto,1792,Diesel,145,62.8,2
 X1,2019,Semi-Auto,1000,Diesel,145,60.1,2
 4 Series,2019,Semi-Auto,7701,Petrol,145,48.7,2
 2 Series,2016,Semi-Auto,68185,Diesel,125,60.1,2
 1 Series,2014,Semi-Auto,66449,Petrol,125,50.4,1.6
 2 Series,2018,Semi-Auto,6614,Petrol,145,36.2,2
 1 Series,2017,Semi-Auto,25131,Petrol,145,55.5,1.5
 X1,2015,Semi-Auto,21992,Diesel,160,52.3,2
 X2,2019,Semi-Auto,100,Petrol,145,34,2
 X7,2019,Semi-Auto,5283,Diesel,145,33.6,3
 6 Series,2016,Semi-Auto,29403,Petrol,260,35.8,3
 4 Series,2016,Semi-Auto,24932,Diesel,160,49.6,3
 i3,2017,Automatic,20929,Hybrid,135,470.8,0
 X1,2016,Semi-Auto,35300,Diesel,125,57.6,2
 X5,2019,Semi-Auto,5853,Diesel,145,37.7,3
 7 Series,2017,Semi-Auto,28338,Diesel,145,56.5,3
 X4,2016,Semi-Auto,13005,Diesel,145,54.3,2
 X3,2016,Semi-Auto,35621,Diesel,145,54.3,2
 1 Series,2019,Manual,1000,Petrol,145,44.1,1.5
 3 Series,2017,Manual,24669,Petrol,145,48.7,2
 X3,2016,Semi-Auto,15497,Diesel,145,54.3,2
 5 Series,2017,Semi-Auto,8605,Diesel,145,65.7,2
 X3,2017,Semi-Auto,33158,Diesel,200,47.1,3
 2 Series,2016,Semi-Auto,28966,Petrol,125,52.3,1.5
 3 Series,2020,Semi-Auto,1881,Petrol,150,34.9,3
 3 Series,2020,Semi-Auto,1370,Diesel,150,52.3,2
 M5,2018,Semi-Auto,10455,Petrol,150,26.9,4.4
 8 Series,2019,Semi-Auto,2881,Petrol,150,31.7,3
 2 Series,2019,Semi-Auto,1089,Petrol,150,38.2,3
 M3,2015,Semi-Auto,37249,Petrol,300,34,3
 3 Series,2018,Semi-Auto,8702,Petrol,145,46.3,2
 1 Series,2017,Semi-Auto,23114,Petrol,200,39.8,3
 2 Series,2019,Semi-Auto,460,Petrol,150,38.2,3
 4 Series,2019,Semi-Auto,1297,Diesel,145,58.9,2
 4 Series,2019,Semi-Auto,1133,Diesel,145,65.7,2
 X1,2018,Semi-Auto,9421,Diesel,145,60.1,2
 X3,2019,Semi-Auto,3708,Diesel,145,54.3,2
 5 Series,2017,Semi-Auto,23310,Diesel,160,51.4,2
 X5,2016,Automatic,25701,Diesel,200,47.1,3
 X5,2015,Automatic,44087,Diesel,200,47.1,3
 3 Series,2017,Semi-Auto,29190,Diesel,145,62.8,2
 3 Series,2017,Semi-Auto,43703,Diesel,160,51.4,3
 2 Series,2017,Semi-Auto,16266,Petrol,145,43.5,2
 3 Series,2019,Semi-Auto,8200,Diesel,145,48.7,2
 X6,2019,Semi-Auto,1500,Diesel,145,34.9,3
 1 Series,2019,Semi-Auto,1060,Diesel,145,70.6,2
 5 Series,2017,Semi-Auto,31585,Diesel,30,62.8,2
 M4,2017,Semi-Auto,27806,Petrol,145,34,3
 2 Series,2016,Semi-Auto,39955,Petrol,205,43.5,2
 i3,2017,Automatic,21025,Hybrid,0,470.8,0
 3 Series,2020,Semi-Auto,150,Diesel,150,47.1,3
 1 Series,2015,Manual,35869,Petrol,125,53.3,1.5
 3 Series,2017,Semi-Auto,19888,Diesel,145,51.4,3
 1 Series,2016,Semi-Auto,21685,Diesel,125,60.1,2
 X1,2019,Semi-Auto,4153,Diesel,145,65.7,2
 5 Series,2019,Semi-Auto,6111,Diesel,145,60.1,2
 1 Series,2014,Automatic,37390,Diesel,30,64.2,2
 3 Series,2017,Semi-Auto,47518,Diesel,160,51.4,3
 3 Series,2018,Semi-Auto,11350,Diesel,145,56.5,3
 X6,2020,Semi-Auto,5000,Diesel,145,34.9,3
 2 Series,2020,Semi-Auto,1000,Diesel,145,62.8,2
 2 Series,2020,Semi-Auto,1000,Petrol,145,47.9,2
 Z4,2020,Semi-Auto,1000,Petrol,145,38.7,2
 Z4,2020,Semi-Auto,2200,Petrol,145,38.7,2
 2 Series,2017,Manual,13566,Diesel,30,64.2,2
 3 Series,2018,Automatic,13700,Diesel,145,62.8,2
 3 Series,2017,Semi-Auto,18309,Diesel,145,56.5,3
 3 Series,2019,Automatic,3000,Diesel,145,43.5,3
 1 Series,2019,Semi-Auto,5500,Petrol,145,42.8,1.5
 3 Series,2020,Semi-Auto,4000,Petrol,145,41.5,2
 3 Series,2016,Semi-Auto,56327,Diesel,145,53.3,3
 X5,2019,Semi-Auto,3677,Diesel,145,33.6,3
 X4,2019,Semi-Auto,10,Diesel,145,40.9,3
 5 Series,2019,Semi-Auto,14585,Hybrid,135,156.9,2
 4 Series,2019,Semi-Auto,1893,Diesel,145,60.1,2
 2 Series,2019,Semi-Auto,1000,Petrol,145,40.9,1.5
 1 Series,2019,Semi-Auto,101,Diesel,145,51.4,2
 X7,2020,Semi-Auto,7500,Diesel,150,31.4,3
 4 Series,2016,Semi-Auto,24709,Diesel,30,65.7,2
 2 Series,2020,Semi-Auto,1000,Diesel,145,48.7,2
 4 Series,2014,Semi-Auto,25276,Diesel,145,56.5,2
 1 Series,2013,Manual,49711,Diesel,30,65.7,2
 4 Series,2018,Semi-Auto,7450,Diesel,145,55.4,3
 4 Series,2015,Semi-Auto,29627,Diesel,160,49.6,3
 5 Series,2018,Semi-Auto,19474,Diesel,145,62.8,2
 1 Series,2019,Semi-Auto,5955,Diesel,145,70.6,2
 5 Series,2019,Semi-Auto,15808,Petrol,145,48.7,2
 5 Series,2014,Semi-Auto,31039,Diesel,145,55.4,2
 4 Series,2019,Semi-Auto,1000,Diesel,145,60.1,2
 1 Series,2019,Manual,1000,Petrol,145,41.5,1.5
 5 Series,2019,Automatic,4000,Diesel,145,60.1,2
 1 Series,2017,Semi-Auto,15948,Petrol,200,39.8,3
 1 Series,2020,Semi-Auto,3000,Petrol,150,34.5,2
 X3,2019,Semi-Auto,7200,Diesel,150,54.3,2
 X1,2017,Semi-Auto,4645,Petrol,150,44.8,2
 1 Series,2015,Manual,30241,Diesel,20,72.4,1.5
 3 Series,2016,Manual,34328,Diesel,125,61.4,2
 2 Series,2017,Semi-Auto,15336,Petrol,125,48.7,2
 1 Series,2018,Manual,13132,Petrol,150,52.3,1.5
 3 Series,2019,Semi-Auto,7130,Petrol,150,47.9,2
 4 Series,2019,Semi-Auto,5630,Diesel,145,65.7,2
 5 Series,2019,Semi-Auto,6142,Petrol,145,39.2,3
 M4,2019,Semi-Auto,5239,Petrol,145,34,3
 X7,2019,Semi-Auto,5071,Diesel,145,33.6,3
 3 Series,2018,Semi-Auto,7509,Diesel,145,62.8,2
 2 Series,2019,Semi-Auto,7296,Petrol,145,39.8,3
 3 Series,2017,Semi-Auto,19493,Diesel,0,74.3,2
 X3,2015,Semi-Auto,23000,Diesel,150,54.3,2
 2 Series,2020,Semi-Auto,8,Petrol,150,50.4,1.5
 2 Series,2019,Semi-Auto,5558,Petrol,150,50.4,2
 X1,2017,Semi-Auto,26109,Diesel,145,55.4,2
 3 Series,2018,Semi-Auto,3582,Petrol,150,48.7,2
 3 Series,2017,Semi-Auto,20000,Diesel,150,64.2,2
 5 Series,2019,Semi-Auto,11794,Diesel,150,62.8,2
 1 Series,2019,Manual,7879,Petrol,145,44.1,1.5
 1 Series,2019,Manual,5599,Petrol,145,44.1,1.5
 2 Series,2019,Semi-Auto,17303,Diesel,145,51.4,2
 4 Series,2018,Automatic,3500,Diesel,145,55.4,3
 1 Series,2014,Manual,33580,Petrol,200,42.8,2
 X2,2019,Semi-Auto,2315,Diesel,145,58.9,2
 4 Series,2019,Semi-Auto,1777,Diesel,145,58.9,2
 2 Series,2016,Automatic,35004,Diesel,30,64.2,2
 X1,2016,Manual,31345,Diesel,125,60.1,2
 3 Series,2018,Semi-Auto,17173,Diesel,145,56.5,3
 X3,2016,Automatic,41277,Diesel,145,54.3,2
 4 Series,2015,Semi-Auto,41000,Diesel,150,56.5,2
 3 Series,2017,Semi-Auto,27823,Petrol,150,44.1,2
 2 Series,2019,Manual,4467,Petrol,150,52.3,1.5
 2 Series,2015,Manual,19361,Diesel,30,64.2,2
 3 Series,2020,Semi-Auto,2000,Diesel,145,50.4,2
 X3,2020,Semi-Auto,2000,Diesel,145,54.3,2
 3 Series,2017,Semi-Auto,28740,Diesel,200,49.6,3
 2 Series,2019,Semi-Auto,2144,Petrol,145,50.4,1.5
 4 Series,2018,Semi-Auto,6488,Diesel,145,51.4,3
 1 Series,2017,Manual,12194,Petrol,125,52.3,1.5
 2 Series,2017,Semi-Auto,16261,Petrol,145,39.8,3
 3 Series,2018,Semi-Auto,15769,Petrol,145,48.7,2
 2 Series,2020,Semi-Auto,1000,Petrol,145,47.9,2
 1 Series,2017,Semi-Auto,28921,Petrol,30,55.5,1.5
 2 Series,2015,Manual,24600,Petrol,145,47.9,2
 X5,2014,Automatic,49450,Diesel,200,47.1,3
 1 Series,2017,Semi-Auto,27866,Petrol,145,39.8,3
 1 Series,2019,Manual,4658,Diesel,145,68.9,2
 X2,2018,Semi-Auto,13056,Diesel,145,61.4,2
 3 Series,2020,Semi-Auto,2000,Diesel,145,47.9,3
 2 Series,2019,Manual,5907,Petrol,145,42.2,1.5
 1 Series,2019,Manual,8500,Petrol,145,44.1,1.5
 1 Series,2019,Manual,2832,Petrol,145,44.1,1.5
 1 Series,2019,Manual,4143,Petrol,145,44.1,1.5
 1 Series,2019,Manual,8464,Petrol,145,44.1,1.5
 1 Series,2019,Manual,5922,Petrol,145,44.1,1.5
 1 Series,2019,Manual,10532,Petrol,145,44.1,1.5
 3 Series,2017,Semi-Auto,16456,Petrol,145,46.3,2
 6 Series,2017,Semi-Auto,9769,Diesel,145,51.4,3
 1 Series,2016,Automatic,31800,Petrol,235,37.7,3
 X3,2018,Semi-Auto,20087,Diesel,145,48.7,3
 1 Series,2018,Semi-Auto,7929,Petrol,150,36.7,1.5
 X3,2015,Semi-Auto,26000,Diesel,205,47.9,3
 4 Series,2018,Automatic,18792,Petrol,145,45.6,2
 2 Series,2019,Semi-Auto,2069,Petrol,145,39.8,3
 3 Series,2019,Semi-Auto,5326,Diesel,145,53.3,3
 1 Series,2019,Manual,9086,Petrol,145,41.5,1.5
 5 Series,2019,Semi-Auto,2135,Petrol,145,48.7,2
 1 Series,2020,Semi-Auto,150,Petrol,145,42.8,1.5
 3 Series,2020,Semi-Auto,150,Petrol,145,42.2,2
 5 Series,2016,Semi-Auto,29286,Petrol,235,37.7,3
 3 Series,2020,Semi-Auto,2000,Petrol,145,40.4,2
 3 Series,2020,Semi-Auto,2000,Diesel,145,52.3,2
 X5,2020,Semi-Auto,2000,Diesel,145,36.7,3
 1 Series,2019,Manual,9261,Petrol,145,41.5,1.5
 1 Series,2017,Manual,16000,Diesel,150,68.9,2
 2 Series,2018,Semi-Auto,8353,Petrol,150,32.5,3
 2 Series,2019,Manual,718,Petrol,150,54.3,1.5
 1 Series,2019,Semi-Auto,5693,Petrol,150,40.4,1.5
 X3,2019,Semi-Auto,8988,Diesel,150,36.7,3
 X1,2019,Semi-Auto,10001,Diesel,150,50.4,2
 1 Series,2017,Automatic,37834,Diesel,145,67.3,2
 4 Series,2017,Semi-Auto,40542,Diesel,30,65.7,2
 X1,2018,Manual,7252,Petrol,145,51.4,1.5
 3 Series,2018,Semi-Auto,47386,Diesel,145,64.2,2
 2 Series,2019,Semi-Auto,5633,Diesel,145,49.6,2
 3 Series,2015,Semi-Auto,46890,Diesel,125,58.9,2
 2 Series,2016,Manual,19657,Diesel,20,68.9,1.5
 X5,2017,Automatic,23010,Diesel,145,47.1,3
 3 Series,2019,Semi-Auto,3150,Petrol,145,42.2,2
 2 Series,2020,Semi-Auto,13,Petrol,150,50.4,1.5
 1 Series,2019,Manual,12845,Petrol,150,44.1,1.5
 2 Series,2020,Automatic,1968,Petrol,145,50.4,2
 1 Series,2020,Automatic,2047,Diesel,145,51.4,2
 3 Series,2020,Semi-Auto,4323,Diesel,145,50.4,2
 X3,2016,Semi-Auto,31839,Diesel,145,54.3,2
 2 Series,2020,Semi-Auto,150,Petrol,145,42.2,1.5
 2 Series,2019,Semi-Auto,3995,Petrol,145,50.4,1.5
 5 Series,2017,Automatic,16774,Diesel,125,62.8,2
 3 Series,2017,Automatic,29681,Petrol,145,48.7,2
 5 Series,2019,Semi-Auto,3123,Diesel,150,60.1,3
 3 Series,2020,Semi-Auto,1987,Diesel,150,53.3,2
 2 Series,2020,Semi-Auto,1548,Petrol,150,36.2,2
 2 Series,2019,Semi-Auto,7836,Petrol,150,47.9,2
 Z4,2020,Semi-Auto,10,Petrol,150,38.7,2
 2 Series,2019,Semi-Auto,8319,Diesel,150,51.4,2
 X5,2019,Semi-Auto,10,Diesel,150,37.7,3
 X5,2019,Semi-Auto,13,Diesel,150,37.7,3
 2 Series,2020,Semi-Auto,7,Petrol,150,50.4,1.5
 1 Series,2019,Manual,13252,Petrol,145,41.5,1.5
 X3,2019,Semi-Auto,9045,Petrol,150,34.5,3
 5 Series,2019,Semi-Auto,12391,Diesel,150,62.8,2
 3 Series,2018,Semi-Auto,16969,Petrol,150,48.7,2
 3 Series,2020,Semi-Auto,2084,Diesel,145,43.5,3
 3 Series,2019,Automatic,2974,Diesel,145,47.9,3
 3 Series,2019,Automatic,10742,Diesel,145,48.7,2
 2 Series,2020,Semi-Auto,877,Diesel,145,64.2,2
 X1,2020,Semi-Auto,1074,Diesel,145,40.9,2
 2 Series,2019,Automatic,8599,Petrol,145,40.9,1.5
 X3,2019,Automatic,8200,Petrol,145,34.5,3
 X1,2019,Semi-Auto,150,Petrol,145,35.3,2
 5 Series,2017,Semi-Auto,24655,Diesel,145,68.9,2
 3 Series,2016,Semi-Auto,27016,Hybrid,0,148.7,2
 2 Series,2018,Semi-Auto,14616,Petrol,145,50.4,1.5
 i3,2016,Automatic,20013,Hybrid,0,470.8,0
 1 Series,2018,Manual,14530,Diesel,145,51.4,1.5
 5 Series,2017,Semi-Auto,24172,Hybrid,135,156.9,2
 1 Series,2015,Manual,66563,Diesel,20,68.9,2
 1 Series,2018,Semi-Auto,7229,Petrol,145,58.9,1.5
 X1,2017,Semi-Auto,9637,Diesel,145,55.4,2
 3 Series,2016,Automatic,22533,Diesel,160,51.4,3
 i8,2018,Automatic,13909,Hybrid,135,134.5,1.5
 4 Series,2016,Automatic,33074,Diesel,160,51.4,3
 3 Series,2019,Semi-Auto,11439,Petrol,145,40.9,2
 X1,2017,Automatic,19116,Diesel,145,57.6,2
 1 Series,2014,Manual,42574,Diesel,30,64.2,2
 X1,2018,Semi-Auto,11586,Diesel,145,60.1,2
 X1,2016,Automatic,26083,Diesel,125,60.1,2
 6 Series,2016,Automatic,19411,Petrol,260,37.2,3
 1 Series,2015,Manual,42676,Diesel,30,65.7,2
 1 Series,2016,Automatic,17237,Petrol,125,54.3,1.5
 3 Series,2020,Semi-Auto,2958,Petrol,145,42.2,2
 8 Series,2020,Semi-Auto,6374,Diesel,145,26.7,3
 M4,2016,Semi-Auto,32866,Petrol,300,34,3
 X1,2019,Automatic,11884,Diesel,145,60.1,2
 X6,2020,Semi-Auto,1365,Diesel,145,34.9,3
 2 Series,2018,Automatic,32618,Petrol,145,51.4,1.5
 X5,2019,Semi-Auto,9438,Diesel,145,37.7,3
 X5,2019,Semi-Auto,8318,Diesel,145,37.7,3
 3 Series,2015,Automatic,35697,Diesel,30,62.8,2
 X5,2019,Semi-Auto,10834,Diesel,145,37.7,3
 5 Series,2019,Automatic,9029,Hybrid,135,156.9,2
 5 Series,2019,Automatic,10597,Hybrid,135,156.9,2
 3 Series,2017,Semi-Auto,27024,Diesel,145,51.4,3
 5 Series,2002,Automatic,115000,Petrol,325,28.5,2.2
 X3,2004,Automatic,100000,Petrol,330,23.7,2.5
 1 Series,2019,Semi-Auto,3450,Petrol,145,34.5,2
 3 Series,2019,Semi-Auto,1000,Diesel,145,49.6,2
 X3,2019,Semi-Auto,10,Diesel,145,54.3,2
 3 Series,2017,Manual,30761,Diesel,125,58.9,2
 1 Series,2019,Semi-Auto,13171,Diesel,150,67.3,2
 3 Series,2007,Manual,63000,Petrol,565,29.7,3
 1 Series,2008,Manual,59000,Diesel,110,58.9,2
 X1,2011,Manual,69561,Diesel,160,49.6,2
 1 Series,2017,Automatic,17988,Petrol,145,39.8,3
 5 Series,2019,Semi-Auto,1000,Petrol,145,50.4,2
 5 Series,2019,Semi-Auto,1000,Diesel,145,60.1,2
 X6,2019,Semi-Auto,101,Diesel,145,34.9,3
 1 Series,2019,Manual,4160,Petrol,145,53.3,1.5
 i3,2017,Automatic,24041,Hybrid,0,470.8,0
 4 Series,2016,Semi-Auto,40340,Diesel,30,65.7,2
 4 Series,2017,Semi-Auto,27292,Diesel,160,49.6,3
 Z4,2015,Semi-Auto,15768,Petrol,330,30.1,3
 3 Series,2019,Semi-Auto,7225,Diesel,150,52.3,2
 3 Series,2019,Semi-Auto,12288,Petrol,150,47.9,2
 3 Series,2018,Semi-Auto,33188,Diesel,150,53.3,3
 4 Series,2020,Semi-Auto,45,Diesel,150,52.3,3
 7 Series,2014,Semi-Auto,74269,Diesel,165,50.4,3
 3 Series,2012,Automatic,50000,Diesel,30,62.8,2
 2 Series,2016,Automatic,36500,Diesel,20,72.4,1.5
 4 Series,2016,Manual,103500,Diesel,30,67.3,2
 5 Series,2016,Automatic,23500,Diesel,20,68.9,2
 5 Series,2019,Semi-Auto,5271,Petrol,145,46.3,2
 2 Series,2019,Automatic,8646,Hybrid,135,148.7,1.5
 M4,2017,Automatic,5735,Petrol,145,32.5,3
 3 Series,2019,Automatic,18253,Diesel,145,62.8,2
 M4,2018,Automatic,3033,Petrol,145,33.6,3
 X5,2017,Automatic,39060,Diesel,145,42.8,3
 1 Series,2019,Semi-Auto,11754,Diesel,145,68.9,1.5
 1 Series,2019,Manual,3148,Petrol,145,41.5,1.5
 3 Series,2019,Semi-Auto,12500,Diesel,145,48.7,2
 2 Series,2020,Semi-Auto,3500,Petrol,145,50.4,1.5
 3 Series,2017,Semi-Auto,23000,Petrol,145,48.7,2
 3 Series,2020,Semi-Auto,1000,Diesel,145,47.9,3
 X1,2016,Manual,43529,Diesel,125,60.1,2
 1 Series,2020,Semi-Auto,1000,Diesel,145,48.7,2
 3 Series,2019,Semi-Auto,4686,Petrol,150,42.2,2
 3 Series,2019,Semi-Auto,11618,Diesel,150,54.3,2
 3 Series,2019,Semi-Auto,6659,Diesel,150,55.4,2
 5 Series,2012,Automatic,60300,Diesel,160,50.4,3
 5 Series,2015,Manual,94500,Diesel,125,58.9,2
 3 Series,2019,Semi-Auto,9754,Diesel,150,52.3,2
 5 Series,2018,Semi-Auto,1153,Petrol,150,37.7,2
 X1,2013,Semi-Auto,60926,Diesel,160,52.3,2
 5 Series,2020,Semi-Auto,6,Petrol,145,50.4,2
 5 Series,2019,Semi-Auto,10707,Hybrid,135,156.9,2
 1 Series,2019,Semi-Auto,11423,Diesel,145,74.3,2
 X1,2015,Manual,90000,Diesel,160,51.4,2
 1 Series,2012,Manual,75900,Diesel,30,62.8,2
 3 Series,2011,Manual,88850,Petrol,160,44.8,2
