model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 5 Series,2017,22998,Semi-Auto,19379,Diesel,145,65.7,2
 1 Series,2017,14498,Manual,20790,Diesel,145,70.6,1.5
 5 Series,2019,29898,Semi-Auto,2743,Diesel,145,60.1,2
 3 Series,2019,22998,Semi-Auto,6000,Petrol,145,48.7,2
 3 Series,2019,29998,Manual,3980,Diesel,145,53.3,2
 4 Series,2019,29898,Semi-Auto,101,Diesel,145,60.1,2
 5 Series,2017,20498,Semi-Auto,12725,Diesel,145,68.9,2
 3 Series,2019,27650,Semi-Auto,18200,Diesel,150,48.7,2
 Z4,2016,18650,Semi-Auto,25300,Petrol,205,41.5,2
 4 Series,2018,22995,Automatic,7200,Petrol,145,48.7,2
 X6,2018,36995,Semi-Auto,6100,Diesel,145,47.1,3
 5 Series,2018,26995,Automatic,6800,Diesel,145,68.9,2
 1 Series,2013,11995,Manual,31600,Diesel,125,57.6,2
 5 Series,2018,25995,Semi-Auto,8700,Diesel,145,49.6,2
 X6,2016,29995,Automatic,43600,Diesel,200,44.8,3
 3 Series,2018,21495,Semi-Auto,16452,Petrol,150,48.7,2
 5 Series,2017,22998,Automatic,15838,Diesel,145,60.1,2
 5 Series,2019,34498,Automatic,6775,Diesel,145,51.4,3
 1 Series,2019,18498,Semi-Auto,11234,Diesel,145,68.9,2
 7 Series,2019,45898,Semi-Auto,5893,Diesel,145,44.1,3
 X3,2019,37898,Semi-Auto,9781,Diesel,145,48.7,3
 X5,2016,34498,Automatic,17303,Hybrid,0,85.6,2
 1 Series,2016,17998,Manual,25334,Petrol,300,35.3,3
 3 Series,2016,18498,Semi-Auto,36501,Diesel,145,53.3,3
 2 Series,2019,23998,Semi-Auto,2318,Petrol,145,47.9,2
 X1,2017,21498,Semi-Auto,14418,Diesel,145,55.4,2
 X1,2017,18500,Semi-Auto,12160,Diesel,145,65.7,2
 X3,2018,31000,Semi-Auto,20290,Diesel,145,48.7,3
 X1,2016,19500,Semi-Auto,13690,Diesel,125,57.6,2
 X5,2017,34000,Automatic,22158,Diesel,205,47.1,3
 X5,2015,28000,Automatic,36174,Diesel,205,47.1,3
 3 Series,2018,22000,Semi-Auto,30000,Diesel,150,53.3,3
 1 Series,2016,16000,Manual,40125,Petrol,305,35.3,3
 3 Series,2017,18000,Manual,20087,Petrol,165,44.8,2
 X7,2020,78000,Semi-Auto,5000,Diesel,150,31.4,3
 3 Series,2018,22500,Semi-Auto,11150,Petrol,145,48.7,2
 1 Series,2018,15500,Manual,5827,Petrol,145,37.7,1.5
 4 Series,2019,29000,Semi-Auto,14000,Diesel,145,50.4,3
 4 Series,2019,24700,Semi-Auto,5196,Diesel,145,65.7,2
 2 Series,2019,24000,Semi-Auto,2500,Petrol,145,39.2,1.5
 1 Series,2018,16000,Manual,7000,Diesel,145,50.4,1.5
 X3,2019,56000,Semi-Auto,26,Petrol,145,24.8,3
 1 Series,2019,32000,Semi-Auto,4493,Petrol,145,34.5,2
 X1,2018,20000,Semi-Auto,10545,Diesel,145,60.1,2
 X1,2017,22000,Semi-Auto,16500,Petrol,145,44.8,2
 3 Series,2016,16998,Semi-Auto,43695,Hybrid,0,134.5,2
 X3,2015,17498,Semi-Auto,48867,Diesel,145,54.3,2
 1 Series,2017,15798,Semi-Auto,23157,Petrol,145,54.3,1.5
 X1,2016,18998,Semi-Auto,30434,Diesel,125,57.6,2
 3 Series,2015,20000,Semi-Auto,39700,Diesel,160,50.4,3
 5 Series,2019,28000,Semi-Auto,5739,Diesel,145,62.8,2
 X5,2017,41500,Automatic,18000,Diesel,145,42.8,3
 1 Series,2018,16000,Semi-Auto,24275,Diesel,145,68.9,1.5
 4 Series,2017,20800,Semi-Auto,14774,Diesel,125,58.9,2
 3 Series,2018,20500,Semi-Auto,12133,Petrol,145,48.7,2
 1 Series,2017,15500,Manual,15645,Petrol,125,52.3,1.5
 X4,2016,25000,Semi-Auto,25085,Diesel,200,47.9,3
 1 Series,2017,21500,Semi-Auto,19486,Petrol,145,39.8,3
 X2,2019,30000,Semi-Auto,5431,Diesel,145,48.7,2
 7 Series,2020,53000,Semi-Auto,6555,Diesel,145,42.2,3
 3 Series,2014,14000,Semi-Auto,73923,Diesel,160,52.3,3
 1 Series,2018,25990,Semi-Auto,6500,Petrol,150,32.5,3
 X4,2018,32000,Semi-Auto,10920,Diesel,150,42.8,2
 3 Series,2019,24300,Semi-Auto,8000,Petrol,150,44.8,2
 5 Series,2019,33000,Semi-Auto,12250,Diesel,150,53.3,3
 X3,2016,20500,Semi-Auto,37000,Diesel,145,54.3,2
 3 Series,2016,19000,Semi-Auto,40500,Diesel,145,53.3,3
 3 Series,2017,18000,Semi-Auto,33000,Diesel,145,60.1,2
 M4,2020,51000,Semi-Auto,2000,Petrol,145,32.5,3
 X3,2015,16500,Semi-Auto,48000,Diesel,145,54.3,2
 4 Series,2017,19800,Manual,17410,Petrol,150,40.9,2
 1 Series,2017,13500,Manual,25975,Petrol,145,53.3,1.5
 1 Series,2019,18500,Semi-Auto,12054,Petrol,150,54.3,1.5
 1 Series,2014,9300,Manual,51203,Diesel,30,65.7,2
 X5,2019,50000,Semi-Auto,5145,Diesel,150,37.7,3
 1 Series,2017,11800,Manual,23274,Diesel,20,72.4,1.5
 4 Series,2018,22000,Semi-Auto,10948,Diesel,145,60.1,2
 2 Series,2019,27500,Semi-Auto,7000,Petrol,145,38.2,3
 5 Series,2019,28000,Semi-Auto,16000,Diesel,145,60.1,3
 2 Series,2020,29000,Manual,5550,Petrol,145,43.5,1.5
 3 Series,2014,16800,Semi-Auto,50687,Diesel,160,52.3,3
 3 Series,2013,15500,Semi-Auto,46500,Diesel,150,55.4,3
 X1,2016,19300,Semi-Auto,25300,Diesel,125,60.1,2
 1 Series,2017,16998,Semi-Auto,12458,Diesel,30,62.8,2
 1 Series,2017,21498,Semi-Auto,21200,Petrol,200,39.8,3
 4 Series,2016,18998,Semi-Auto,20151,Diesel,145,53.3,3
 X1,2017,18498,Manual,13278,Diesel,125,58.9,2
 5 Series,2019,27000,Semi-Auto,9000,Petrol,145,48.7,2
 2 Series,2018,18000,Semi-Auto,13174,Diesel,145,49.6,2
 7 Series,2016,26000,Semi-Auto,39085,Diesel,145,54.3,3
 3 Series,2017,25500,Semi-Auto,14834,Diesel,145,51.4,3
 3 Series,2016,18000,Semi-Auto,15088,Diesel,145,55.4,3
 1 Series,2017,16800,Semi-Auto,16761,Diesel,145,67.3,2
 3 Series,2018,21300,Semi-Auto,18564,Diesel,145,60.1,2
 X2,2019,29000,Semi-Auto,1418,Petrol,145,36.2,2
 3 Series,2019,34000,Semi-Auto,5525,Diesel,145,50.4,2
 3 Series,2017,24000,Semi-Auto,15338,Diesel,145,49.6,3
 3 Series,2013,14990,Semi-Auto,35500,Diesel,145,55.4,2
 5 Series,2017,30000,Semi-Auto,11086,Diesel,145,53.3,3
 1 Series,2018,15800,Semi-Auto,11132,Petrol,145,55.5,1.5
 1 Series,2018,16500,Semi-Auto,7656,Petrol,145,37.2,1.5
 X3,2015,19500,Semi-Auto,41567,Diesel,145,54.3,2
 5 Series,2019,40000,Semi-Auto,1034,Petrol,145,39.2,3
 1 Series,2017,21800,Semi-Auto,20294,Petrol,200,39.8,3
 3 Series,2017,20998,Semi-Auto,30422,Diesel,145,51.4,3
 3 Series,2017,19698,Semi-Auto,20313,Diesel,145,56.5,3
 3 Series,2016,21498,Semi-Auto,28775,Diesel,160,51.4,3
 3 Series,2015,17200,Semi-Auto,6147,Petrol,145,47.9,2
 X5,2013,24000,Automatic,45150,Diesel,200,45.6,3
 1 Series,2019,26000,Manual,2073,Diesel,145,57.7,1.5
 4 Series,2020,27000,Semi-Auto,25,Petrol,145,48.7,2
 4 Series,2020,27500,Semi-Auto,25,Diesel,145,60.1,2
 X5,2019,52000,Semi-Auto,6500,Diesel,145,37.7,3
 4 Series,2019,32000,Semi-Auto,4025,Diesel,145,50.4,3
 2 Series,2015,10498,Manual,27221,Diesel,0,74.3,1.5
 3 Series,2013,9985,Manual,75561,Diesel,20,68.9,2
 X4,2015,19485,Manual,53755,Diesel,160,52.3,2
 3 Series,2013,9965,Semi-Auto,95043,Diesel,30,62.8,2
 X1,2014,10985,Semi-Auto,56952,Diesel,160,52.3,2
 1 Series,2017,13489,Semi-Auto,59066,Diesel,20,72.4,1.5
 3 Series,2016,13994,Semi-Auto,46889,Diesel,30,67.3,2
 5 Series,2019,35950,Semi-Auto,5137,Diesel,145,51.4,3
 4 Series,2019,25490,Semi-Auto,8794,Diesel,145,60.1,2
 5 Series,2019,34900,Semi-Auto,9854,Diesel,145,53.3,3
 7 Series,2018,42000,Semi-Auto,7123,Diesel,145,52.3,3
 1 Series,2014,12000,Manual,41500,Diesel,125,57.6,2
 1 Series,2016,14000,Manual,24678,Diesel,30,65.7,2
 M4,2019,48000,Semi-Auto,2258,Petrol,145,34,3
 2 Series,2019,23950,Semi-Auto,4413,Diesel,145,46.3,2
 4 Series,2019,26550,Semi-Auto,7292,Diesel,145,58.9,2
 X1,2016,18000,Semi-Auto,46354,Diesel,125,57.6,2
 6 Series,2018,27990,Semi-Auto,21525,Diesel,150,49.6,3
 1 Series,2017,13450,Manual,15663,Petrol,150,53.3,1.5
 X5,2017,34990,Automatic,18000,Diesel,200,47.1,3
 4 Series,2020,29500,Semi-Auto,17,Diesel,145,60.1,2
 5 Series,2019,28500,Semi-Auto,3816,Diesel,145,62.8,2
 5 Series,2019,26000,Semi-Auto,4405,Petrol,145,48.7,2
 X2,2019,27000,Manual,4825,Diesel,145,49.6,2
 4 Series,2019,27000,Semi-Auto,4406,Diesel,145,60.1,2
 3 Series,2019,33000,Semi-Auto,11564,Diesel,145,49.6,2
 X2,2019,32000,Semi-Auto,10,Petrol,145,34,2
 5 Series,2016,14495,Semi-Auto,51700,Diesel,30,65.7,2
 3 Series,2013,9498,Semi-Auto,55701,Petrol,145,47.9,1.6
 1 Series,2018,23498,Semi-Auto,11131,Petrol,145,39.8,3
 3 Series,2020,51000,Semi-Auto,5000,Diesel,150,43.5,3
 X3,2016,22000,Semi-Auto,25000,Diesel,150,54.3,2
 1 Series,2017,23000,Semi-Auto,18100,Petrol,150,39.8,3
 X6,2018,39990,Semi-Auto,7427,Diesel,145,40.9,3
 3 Series,2017,17000,Semi-Auto,43362,Diesel,145,56.5,3
 1 Series,2017,11990,Manual,18435,Petrol,125,53.3,1.5
 1 Series,2019,16500,Semi-Auto,5000,Diesel,145,72.4,1.5
 X4,2018,40000,Semi-Auto,4135,Diesel,145,37.2,3
 1 Series,2019,27000,Semi-Auto,1214,Diesel,145,51.4,2
 M5,2019,72000,Semi-Auto,3545,Petrol,145,24.1,4.4
 3 Series,2017,19650,Semi-Auto,43267,Diesel,145,62.8,2
 X5,2020,60990,Semi-Auto,3500,Diesel,145,33.6,3
 4 Series,2019,22500,Semi-Auto,5623,Diesel,145,65.7,2
 M4,2018,43500,Semi-Auto,2577,Petrol,150,34,3
 2 Series,2015,18700,Semi-Auto,43617,Petrol,265,37.2,3
 X5,2015,26000,Automatic,52936,Diesel,205,47.1,3
 7 Series,2017,34000,Semi-Auto,25000,Diesel,150,53.3,3
 3 Series,2014,15000,Semi-Auto,56000,Diesel,150,55.4,2
 3 Series,2017,18300,Semi-Auto,20000,Diesel,150,62.8,2
 4 Series,2015,15990,Semi-Auto,87597,Diesel,160,51.4,3
 3 Series,2013,9995,Manual,74449,Petrol,200,41.5,2
 X2,2019,23498,Semi-Auto,3241,Petrol,150,40.4,2
 3 Series,2019,34450,Semi-Auto,3500,Diesel,145,45.6,3
 X7,2019,67400,Semi-Auto,5600,Diesel,150,33.6,3
 7 Series,2019,47990,Semi-Auto,7780,Petrol,145,34.5,3
 X3,2020,35900,Semi-Auto,4500,Diesel,150,54.3,2
 4 Series,2016,18498,Semi-Auto,24188,Diesel,145,55.4,3
 X1,2017,18998,Semi-Auto,26939,Diesel,145,65.7,2
 X1,2018,16995,Semi-Auto,17276,Petrol,150,46.3,1.5
 3 Series,2017,20998,Semi-Auto,26252,Diesel,145,51.4,3
 3 Series,2017,15998,Semi-Auto,19675,Petrol,125,51.4,2
 1 Series,2019,29000,Semi-Auto,100,Diesel,150,48.7,2
 X5,2019,51000,Semi-Auto,6000,Diesel,150,37.7,3
 X5,2017,29945,Automatic,30207,Diesel,200,47.1,3
 5 Series,2018,24595,Semi-Auto,28502,Diesel,145,65.7,2
 5 Series,2014,13990,Semi-Auto,73837,Diesel,160,51.4,3
 3 Series,2017,14990,Semi-Auto,48604,Diesel,30,67.3,2
 5 Series,2017,22990,Semi-Auto,33492,Diesel,145,60.1,2
 5 Series,2013,10495,Semi-Auto,83380,Diesel,125,57.6,2
 4 Series,2018,22595,Semi-Auto,18937,Petrol,145,48.7,2
 3 Series,2019,27995,Semi-Auto,2460,Diesel,145,53.3,2
 X1,2016,17298,Semi-Auto,48697,Diesel,125,57.6,2
 X1,2018,16995,Semi-Auto,17276,Petrol,150,46.3,1.5
 X1,2017,17995,Manual,23692,Diesel,125,58.9,2
 5 Series,2017,21998,Semi-Auto,25260,Diesel,145,60.1,2
 X1,2017,16698,Semi-Auto,25291,Diesel,30,65.7,2
 1 Series,2015,12298,Semi-Auto,37634,Diesel,30,64.2,2
 1 Series,2017,13798,Manual,34446,Diesel,145,65.7,2
 1 Series,2018,14000,Manual,19995,Petrol,145,37.7,1.5
 4 Series,2018,24000,Manual,24848,Petrol,145,36.7,3
 M4,2020,50000,Semi-Auto,700,Petrol,145,34,3
 4 Series,2018,21500,Semi-Auto,4038,Petrol,150,45.6,2
 3 Series,2016,22000,Semi-Auto,31250,Diesel,165,51.4,3
 5 Series,2015,16000,Semi-Auto,64194,Diesel,165,51.4,3
 3 Series,2015,18500,Semi-Auto,38218,Diesel,165,51.4,3
 3 Series,2019,28000,Automatic,6148,Diesel,145,52.3,2
 3 Series,2018,27000,Automatic,13430,Diesel,145,49.6,3
 X3,2015,17000,Semi-Auto,35500,Diesel,200,47.9,3
 X3,2014,14495,Semi-Auto,56787,Diesel,150,54.3,2
 1 Series,2016,16200,Semi-Auto,13369,Diesel,20,68.9,1.5
