ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms
8051,C,Ship,6,1,295,4,low,M,10,1600
8052,F,Ship,6,4,299,4,low,M,9,1527
8053,D,Ship,6,4,253,4,medium,M,9,1488
8054,F,Ship,7,4,269,4,medium,M,5,1073
8055,A,Ship,5,1,267,5,medium,F,10,1818
8056,B,Ship,3,5,212,3,medium,M,7,4411
8057,C,Road,5,3,258,3,medium,F,1,5719
8058,F,Road,4,3,136,3,low,M,6,4911
8059,D,Road,3,1,101,2,medium,F,1,5560
8060,F,Road,5,2,191,4,low,F,3,5578
8061,A,Road,5,5,186,4,low,M,3,4287
8062,B,Road,4,4,104,5,low,F,7,5590
8063,C,Road,4,3,201,4,medium,F,3,4797
8064,F,Road,3,2,235,2,medium,F,10,4172
8065,D,Road,4,4,271,6,high,M,3,5204
8066,F,Road,2,3,133,4,low,F,5,5989
8067,A,Road,3,1,256,4,low,M,6,4814
8068,B,Road,3,1,225,2,low,F,2,4438
8069,C,Road,5,3,202,3,low,M,4,4134
8070,F,Road,4,4,214,3,medium,F,1,4717
8071,D,Road,6,3,217,6,medium,M,3,4209
8072,F,Road,4,1,241,2,low,M,3,5672
8073,A,Road,2,3,263,3,low,M,10,5997
8074,B,Road,4,2,273,2,low,F,9,4221
8075,C,Road,4,4,199,3,low,F,9,5016
8076,F,Road,4,1,198,4,medium,F,9,5382
8077,D,Road,2,4,101,6,low,F,6,5080
8078,F,Road,4,4,155,4,low,F,10,5483
8079,A,Flight,2,1,155,2,low,M,2,5661
8080,B,Flight,4,3,117,3,medium,F,4,4666
8081,C,Flight,3,2,262,2,low,M,5,5747
8082,F,Flight,5,4,142,3,low,F,8,5468
8083,D,Flight,4,4,115,3,medium,M,7,4609
8084,F,Flight,4,4,175,3,low,F,6,4600
8085,A,Flight,2,5,239,2,low,F,9,5363
8086,B,Flight,4,1,171,2,low,M,3,4271
8087,C,Flight,4,4,174,3,low,M,8,4348
8088,F,Flight,4,1,164,3,high,F,1,5492
8089,D,Flight,3,2,262,2,medium,M,4,5738
8090,F,Flight,3,5,262,2,medium,F,7,4422
8091,A,Flight,3,1,245,3,low,F,4,5449
8092,B,Flight,3,4,184,3,low,F,2,4875
8093,C,Flight,5,1,231,2,low,M,10,4892
8094,F,Flight,5,1,226,4,high,F,2,5600
8095,D,Flight,4,1,211,3,medium,F,2,5851
8096,F,Flight,4,2,266,5,medium,M,3,4578
8097,A,Flight,4,2,216,3,low,M,4,4309
8098,B,Flight,4,3,153,3,low,M,5,5743
8099,C,Flight,2,2,242,3,high,M,9,4717
8100,F,Flight,5,1,282,5,low,M,6,5182
8101,D,Ship,4,1,165,3,medium,F,10,4574
8102,F,Ship,3,1,146,3,medium,M,9,4944
8103,A,Ship,5,3,113,3,medium,F,5,4743
8104,B,Ship,3,2,161,3,medium,F,1,5757
8105,C,Ship,2,2,219,2,medium,M,8,4518
8106,F,Ship,4,2,237,2,low,F,1,5261
8107,D,Ship,4,3,246,3,low,M,5,4384
8108,F,Ship,3,4,229,6,medium,F,3,5471
8109,A,Ship,3,3,195,3,low,M,1,4224
8110,B,Ship,4,3,160,2,low,M,5,4522
8111,C,Ship,3,5,144,2,medium,M,6,5983
8112,F,Ship,3,3,217,4,medium,F,3,5602
8113,D,Ship,3,4,240,3,high,F,6,4412
8114,F,Ship,3,2,210,3,medium,M,8,4011
8115,A,Ship,4,2,249,3,low,F,9,5459
8116,B,Ship,4,1,178,3,high,M,3,5520
8117,C,Ship,6,4,224,4,low,F,6,4493
8118,F,Ship,3,1,142,3,medium,F,10,4915
8119,D,Ship,4,5,163,2,medium,F,10,5529
8120,F,Ship,4,1,261,4,medium,F,10,4632
8121,A,Ship,3,4,151,3,medium,M,5,4767
8122,B,Ship,4,2,197,2,medium,M,3,4715
8123,C,Ship,6,3,155,2,medium,F,1,4182
8124,F,Ship,3,5,152,4,medium,M,2,4809
8125,D,Ship,4,5,275,6,low,M,3,5008
8126,F,Ship,3,1,102,4,medium,F,4,5936
8127,A,Ship,4,1,285,2,low,M,4,4401
8128,B,Ship,4,5,248,2,medium,M,10,4366
8129,C,Ship,3,4,274,3,low,F,7,5036
8130,F,Ship,4,4,104,4,low,M,6,4323
8131,D,Ship,5,4,176,3,medium,M,10,5456
8132,F,Ship,5,4,237,3,medium,F,1,4369
8133,A,Ship,4,4,247,2,medium,M,9,5095
8134,B,Ship,5,5,212,5,low,F,6,4463
8135,C,Ship,4,5,226,2,low,M,1,4532
8136,F,Ship,6,2,213,2,medium,F,7,5415
8137,D,Ship,4,3,177,3,low,M,1,5282
8138,F,Ship,4,5,235,4,medium,M,6,4633
8139,A,Ship,3,4,263,3,medium,F,2,5741
8140,B,Ship,3,3,181,3,low,F,10,5337
8141,C,Ship,3,2,178,2,medium,F,2,4122
8142,F,Ship,3,5,243,3,medium,F,4,4130
8143,D,Ship,3,3,230,3,medium,F,2,4742
8144,F,Ship,4,3,106,2,medium,F,6,5867
8145,A,Ship,4,5,266,3,medium,F,2,4867
8146,B,Ship,5,2,284,4,low,M,1,4171
8147,C,Ship,2,5,233,3,low,M,9,4751
8148,F,Ship,3,3,200,3,high,F,2,4777
8149,D,Ship,3,2,176,2,medium,F,1,5292
8150,F,Ship,5,1,279,5,medium,M,4,4405
8151,A,Ship,3,3,164,3,high,M,9,5070
8152,B,Ship,4,3,163,3,low,F,10,5002
8153,C,Ship,4,5,254,3,medium,F,3,4404
8154,F,Ship,5,4,234,3,low,F,2,4269
8155,D,Ship,4,1,191,3,low,F,8,4021
8156,F,Ship,3,3,224,3,medium,F,5,4214
8157,A,Ship,3,1,250,2,low,F,5,4232
8158,B,Ship,4,5,101,6,medium,M,8,4146
8159,C,Ship,3,2,227,3,medium,M,6,5058
8160,F,Ship,3,1,173,2,medium,F,4,5521
8161,D,Ship,4,3,209,5,medium,M,6,4384
8162,F,Ship,3,5,241,3,low,F,4,4132
8163,A,Ship,5,5,257,3,medium,F,9,5972
8164,B,Ship,5,1,146,3,high,F,3,4345
8165,C,Ship,2,3,129,5,medium,M,3,5444
8166,F,Ship,3,4,285,3,low,M,9,4768
8167,D,Ship,3,1,133,3,low,F,5,5213
8168,F,Ship,4,2,185,3,low,M,1,4786
8169,A,Ship,5,5,193,4,medium,M,8,5714
8170,B,Ship,5,4,228,6,medium,M,5,4974
8171,C,Ship,3,3,179,2,low,M,5,5058
8172,F,Ship,4,2,224,3,low,F,9,4896
8173,D,Ship,3,2,279,6,medium,M,1,5855
8174,F,Ship,4,2,181,3,medium,M,4,5717
8175,A,Ship,5,5,198,2,medium,M,9,4526
8176,B,Ship,3,5,193,3,medium,F,4,5817
8177,C,Ship,5,4,184,3,low,F,1,4208
8178,F,Ship,5,2,139,3,low,M,9,5920
8179,D,Ship,5,3,210,3,low,M,5,4560
8180,F,Ship,4,3,225,2,low,M,2,4520
8181,A,Ship,3,1,189,2,low,F,5,4738
8182,B,Ship,4,5,164,4,low,F,4,5736
8183,C,Ship,3,5,196,3,low,M,1,5303
8184,F,Ship,5,3,246,2,medium,F,1,4533
8185,D,Ship,4,4,188,4,low,F,10,4571
8186,F,Ship,3,3,250,2,medium,F,4,4380
8187,A,Ship,4,2,156,4,medium,F,2,5795
8188,B,Ship,3,1,218,4,low,M,6,5480
8189,C,Ship,5,5,172,2,low,M,5,5791
8190,F,Ship,3,1,259,2,low,F,3,4380
8191,D,Ship,3,3,231,3,medium,F,9,4623
8192,F,Ship,5,2,224,3,high,M,4,4271
8193,A,Ship,4,5,201,3,low,M,7,4048
8194,B,Road,4,2,189,2,medium,M,5,4374
8195,C,Road,5,4,265,3,medium,M,10,4565
8196,F,Road,3,5,147,3,medium,M,5,5357
8197,D,Road,4,4,195,3,low,F,6,5783
8198,F,Road,4,5,216,3,medium,F,7,5891
8199,A,Road,4,2,148,2,low,M,5,4031
8200,B,Road,5,4,180,4,medium,F,7,4200
8201,C,Road,3,3,169,3,low,F,7,5976
8202,F,Road,3,4,200,3,low,F,7,5400
8203,D,Road,3,3,255,2,low,F,10,5632
8204,F,Road,4,3,238,2,low,F,1,4051
8205,A,Road,3,4,163,3,medium,M,5,5088
8206,B,Road,4,5,177,3,medium,M,7,4031
8207,C,Road,4,5,206,3,medium,M,5,5785
8208,F,Road,3,4,175,3,low,F,2,5272
8209,D,Road,5,5,247,2,medium,M,5,4250
8210,F,Road,4,3,152,4,medium,F,4,5809
8211,A,Road,4,4,162,3,low,F,8,5394
8212,B,Road,3,4,206,3,medium,F,5,5915
8213,C,Road,3,4,186,4,low,F,6,5540
8214,F,Road,4,5,179,3,low,F,4,4487
8215,D,Road,3,5,172,3,medium,F,7,4929
8216,F,Flight,3,3,158,2,medium,M,7,4865
8217,A,Flight,6,5,143,5,high,M,9,4060
8218,B,Flight,5,3,171,3,medium,F,7,4994
8219,C,Flight,4,2,175,3,high,M,4,4426
8220,F,Flight,4,5,173,3,medium,F,8,4040
8221,D,Flight,4,4,268,3,medium,M,10,4531
8222,F,Flight,4,5,232,3,low,F,8,5923
8223,A,Flight,4,2,203,4,medium,F,9,4217
8224,B,Flight,3,4,140,3,low,M,3,5300
8225,C,Flight,3,4,138,3,medium,F,10,4327
8226,F,Flight,5,1,262,3,medium,M,9,5146
8227,D,Flight,4,1,245,3,low,F,9,4024
8228,F,Flight,3,4,224,3,low,F,10,4806
8229,A,Flight,3,4,186,2,low,F,4,4585
8230,B,Flight,4,2,282,4,medium,M,5,5422
8231,C,Flight,5,1,266,3,low,M,8,4786
8232,F,Flight,4,2,256,4,low,F,7,5571
8233,D,Flight,3,3,155,3,medium,F,7,5464
8234,F,Flight,2,4,142,3,high,M,2,5700
8235,A,Flight,6,3,229,8,medium,M,6,4600
8236,B,Flight,4,3,211,8,medium,F,6,5583
8237,C,Flight,5,1,264,6,high,F,4,5337
8238,F,Ship,6,1,217,4,medium,M,3,5571
8239,D,Ship,5,3,145,3,low,M,3,4077
8240,F,Ship,3,2,185,4,low,M,6,5854
8241,A,Ship,4,4,221,10,high,M,6,5582
8242,B,Ship,4,5,208,3,low,F,8,4632
8243,C,Ship,4,5,260,2,medium,M,2,5368
8244,F,Ship,4,4,177,7,low,F,3,5646
8245,D,Ship,4,1,144,4,low,F,10,4175
8246,F,Ship,3,5,174,2,low,F,4,5692
8247,A,Ship,3,2,215,4,high,M,1,4158
8248,B,Ship,4,5,270,10,medium,M,9,5085
8249,C,Ship,3,4,209,2,high,M,10,4540
8250,F,Ship,5,1,103,5,low,F,10,5413
8251,D,Ship,5,1,184,3,low,F,10,4674
8252,F,Ship,5,3,226,2,high,F,6,5033
8253,A,Ship,5,2,158,3,low,M,4,4324
8254,B,Ship,3,2,274,2,high,M,2,5029
8255,C,Ship,3,4,245,3,medium,F,7,5429
8256,F,Ship,5,3,254,6,low,M,8,1932
8257,D,Ship,5,3,252,5,low,M,2,1312
8258,F,Ship,6,4,254,4,low,M,2,1174
8259,A,Ship,4,3,263,5,low,F,10,1762
8260,B,Ship,5,1,256,5,low,F,5,1970
8261,C,Ship,6,5,264,4,medium,F,9,1922
8262,F,Ship,4,2,237,5,low,M,6,1734
8263,D,Ship,4,1,226,5,medium,F,2,1912
8264,F,Ship,7,1,289,4,low,F,4,1543
8265,A,Ship,7,1,281,4,low,F,9,1235
8266,B,Ship,5,5,258,5,low,M,6,1068
8267,C,Ship,6,4,263,4,low,M,3,1276
8268,F,Ship,5,3,245,5,low,F,1,1605
8269,D,Ship,7,3,296,4,medium,F,7,1427
8270,F,Ship,7,4,286,4,low,M,3,1262
8271,A,Ship,6,3,252,2,low,M,6,1470
8272,B,Ship,6,5,301,4,low,F,4,1707
8273,C,Ship,7,4,290,4,low,F,10,1886
8274,F,Ship,7,2,247,4,medium,F,9,1096
8275,D,Ship,3,1,138,3,medium,F,2,4766
8276,F,Ship,5,4,262,3,medium,F,6,4428
8277,A,Ship,4,2,245,3,low,F,5,5226
8278,B,Ship,3,1,224,3,low,F,1,4862
8279,C,Ship,3,1,186,2,low,F,1,5054
8280,F,Ship,4,1,282,4,medium,M,10,5065
8281,D,Ship,5,4,266,3,low,M,2,5260
8282,F,Ship,4,5,256,4,low,F,8,5244
8283,A,Ship,3,1,155,3,medium,F,7,5709
8284,B,Ship,2,5,142,3,high,M,10,5174
8285,C,Ship,6,5,229,8,medium,F,2,4271
8286,F,Ship,4,3,211,8,medium,F,3,4550
8287,D,Ship,5,5,264,6,high,M,8,4644
8288,F,Ship,6,4,217,4,medium,F,4,4247
8289,A,Ship,5,4,145,3,low,M,2,4492
8290,B,Ship,3,5,185,4,low,M,9,5704
8291,C,Ship,4,5,221,10,high,M,9,4646
8292,F,Ship,4,2,208,3,low,M,8,4342
8293,D,Ship,4,4,260,2,medium,M,6,4474
8294,F,Ship,4,5,177,7,low,F,2,4299
8295,A,Ship,4,1,144,4,low,M,8,4970
8296,B,Ship,3,3,174,2,low,F,1,5556
8297,C,Ship,3,2,215,4,high,M,2,4673
8298,F,Ship,4,1,270,10,medium,F,5,5494
8299,D,Ship,3,4,209,2,high,F,5,4363
8300,F,Ship,5,1,103,5,low,M,3,4966
8301,A,Ship,5,2,184,3,low,F,4,4552
8302,B,Ship,5,3,226,2,high,F,2,4219
8303,C,Ship,5,4,158,3,low,F,10,4670
8304,F,Ship,3,1,274,2,high,M,2,4352
8305,D,Ship,3,2,245,3,medium,F,7,4121
8306,F,Ship,5,4,254,6,low,M,4,1850
8307,A,Ship,5,4,252,5,low,M,9,1133
8308,B,Ship,6,2,254,4,low,F,9,1626
8309,C,Ship,4,1,263,5,low,M,3,1777
8310,F,Ship,5,5,256,5,low,F,10,1333
8311,D,Ship,6,3,264,4,medium,M,5,1397
8312,F,Ship,4,1,237,5,low,F,5,1041
8313,A,Ship,4,1,226,5,medium,M,6,1723
8314,B,Ship,7,4,289,4,low,M,1,1657
8315,C,Ship,7,2,281,4,low,F,6,1118
8316,F,Ship,5,5,258,5,low,F,10,1719
8317,D,Ship,6,5,263,4,low,M,10,1669
8318,F,Ship,5,3,245,5,low,F,10,1112
8319,A,Ship,7,3,296,4,medium,F,2,1304
8320,B,Ship,7,3,286,4,low,M,2,1712
8321,C,Ship,6,5,299,4,low,F,1,1629
8322,F,Ship,6,4,253,4,medium,M,10,1248
8323,D,Ship,7,5,269,4,medium,F,9,1835
8324,F,Ship,5,1,267,5,medium,F,3,1194
8325,A,Ship,5,4,226,5,medium,F,4,1518
8326,B,Ship,6,4,278,4,low,M,3,1141
8327,C,Ship,4,4,232,5,medium,M,2,1386
8328,F,Ship,6,4,287,4,low,F,5,1972
8329,D,Ship,4,2,228,5,low,M,6,1718
8330,F,Ship,5,1,232,5,low,M,4,1776
8331,A,Road,6,5,308,4,low,M,8,1569
8332,B,Road,7,5,287,4,low,F,8,1748
8333,C,Road,6,3,246,4,medium,F,8,1741
8334,F,Road,4,1,262,6,low,M,1,1627
8335,D,Road,6,4,275,4,low,M,10,1005
8336,F,Road,5,4,236,5,medium,F,2,1664
8337,A,Road,5,2,221,6,medium,M,2,1781
8338,B,Road,5,4,271,5,low,M,4,1320
8339,C,Road,4,4,229,5,low,M,9,1361
8340,F,Road,5,1,291,4,low,F,3,1663
8341,D,Road,5,5,261,6,medium,F,1,1082
8342,F,Road,6,4,285,4,medium,F,10,1422
8343,A,Road,6,4,262,5,low,M,9,1369
8344,B,Road,4,5,219,5,low,M,2,1260
8345,C,Road,6,1,302,4,low,F,1,1622
8346,F,Road,4,4,269,5,medium,F,2,1473
8347,D,Road,5,4,260,5,low,M,10,1708
8348,F,Road,7,2,297,4,low,F,7,1383
8349,A,Road,6,1,278,4,medium,M,6,1576
8350,B,Road,5,3,265,5,low,F,3,1005
8351,C,Road,6,2,286,4,low,F,5,1248
8352,F,Road,6,2,248,4,low,F,10,1563
8353,D,Flight,6,5,302,4,low,F,7,1592
8354,F,Flight,6,1,272,4,low,F,2,1018
8355,A,Flight,6,4,279,4,low,F,10,1462
8356,B,Flight,4,2,255,5,medium,M,2,1255
8357,C,Flight,5,4,245,5,medium,F,4,1771
8358,F,Flight,4,5,247,5,medium,M,6,1737
8359,D,Flight,6,4,275,4,medium,F,5,1989
8360,F,Flight,6,3,255,4,medium,F,8,1805
8361,A,Flight,6,2,243,4,high,M,2,1665
8362,B,Flight,4,1,234,6,low,M,7,1711
8363,C,Flight,5,2,276,6,medium,F,6,1043
8364,F,Flight,5,1,228,5,low,F,7,1818
8365,D,Flight,5,5,232,6,low,M,2,1550
8366,F,Flight,5,1,248,4,low,F,6,1944
8367,A,Flight,5,4,136,4,low,M,9,5469
8368,B,Flight,4,3,240,3,low,F,8,4423
8369,C,Flight,4,4,147,3,medium,M,9,4534
8370,F,Flight,4,1,222,2,low,F,10,4714
8371,D,Flight,3,3,163,3,medium,M,5,5362
8372,F,Flight,5,4,254,3,low,F,4,5611
8373,A,Flight,4,2,246,3,medium,M,1,5113
8374,B,Flight,2,1,168,4,low,M,6,4800
8375,C,Ship,4,1,145,3,medium,M,8,4915
8376,F,Ship,5,2,224,2,medium,M,8,4047
8377,D,Ship,4,5,248,4,low,F,2,4427
8378,F,Ship,3,3,212,2,low,M,2,5125
8379,A,Ship,5,5,268,3,low,F,8,5480
8380,B,Ship,4,1,200,3,medium,F,5,4120
8381,C,Ship,5,2,246,3,low,F,9,5795
8382,F,Ship,4,3,142,3,medium,M,1,4900
8383,D,Ship,4,3,173,4,low,M,9,5672
8384,F,Ship,5,3,156,4,medium,F,8,5868
8385,A,Ship,3,1,223,2,low,M,8,5719
8386,B,Ship,4,5,231,3,low,F,4,5174
8387,C,Ship,2,4,264,3,low,F,1,5437
8388,F,Ship,4,4,175,5,low,M,10,4498
8389,D,Ship,2,4,149,5,medium,F,7,5541
8390,F,Ship,3,1,226,2,low,M,7,4703
8391,A,Ship,3,1,133,3,medium,F,5,4538
8392,B,Ship,5,2,190,2,low,M,1,5005
8393,C,Ship,3,5,238,2,high,M,5,4052
8394,F,Ship,6,4,152,3,low,M,10,4376
8395,D,Ship,3,4,249,3,high,F,10,5629
8396,F,Ship,4,3,181,2,low,F,4,5622
8397,A,Ship,3,3,239,2,medium,F,2,5625
8398,B,Ship,3,1,167,3,medium,M,10,4341
8399,C,Ship,3,5,246,3,medium,M,1,5650
8400,F,Ship,5,1,139,3,medium,F,1,5953
8401,D,Ship,5,1,150,4,low,F,1,5098
8402,F,Ship,3,3,151,3,medium,F,1,5297
8403,A,Ship,4,1,186,3,low,F,6,4758
8404,B,Ship,3,4,250,3,low,M,6,5565
8405,C,Ship,4,1,162,3,medium,M,6,4343
8406,F,Ship,5,3,135,3,medium,F,5,4484
8407,D,Ship,3,1,238,2,medium,M,5,4355
8408,F,Ship,6,5,167,2,low,M,10,4013
8409,A,Ship,4,1,269,5,medium,M,3,4534
8410,B,Ship,4,2,187,2,medium,M,7,4470
8411,C,Ship,3,3,241,2,high,M,2,4836
8412,F,Ship,3,2,168,3,medium,M,10,4979
8413,D,Ship,4,4,273,2,low,M,1,5759
8414,F,Ship,4,3,257,3,low,M,8,4447
8415,A,Ship,5,1,205,2,low,F,3,5682
8416,B,Ship,4,1,260,5,low,M,1,5559
8417,C,Ship,2,1,207,3,medium,F,10,5394
8418,F,Ship,3,1,202,2,medium,M,7,4598
8419,D,Ship,5,1,224,3,low,M,7,5870
8420,F,Ship,5,1,193,2,low,M,8,5184
8421,A,Ship,5,3,199,3,low,F,3,4885
8422,B,Ship,4,3,187,4,low,M,9,5699
8423,C,Ship,5,2,208,3,low,M,6,4744
8424,F,Ship,3,5,228,2,medium,F,3,5208
8425,D,Ship,3,3,160,4,medium,F,7,5147
8426,F,Ship,3,1,195,3,medium,F,3,5961
8427,A,Ship,3,4,240,2,medium,F,2,5661
8428,B,Ship,2,2,271,4,medium,M,9,4066
8429,C,Ship,4,1,236,3,low,F,8,4114
8430,F,Ship,3,2,199,4,medium,F,1,5660
8431,D,Ship,3,1,246,2,low,F,9,4947
8432,F,Ship,3,1,250,4,low,F,8,4028
8433,A,Ship,4,1,188,2,low,M,10,5085
8434,B,Ship,3,2,256,3,low,M,1,4932
8435,C,Ship,3,5,147,3,medium,M,8,5272
8436,F,Ship,3,3,234,3,low,F,6,5652
8437,D,Ship,3,1,247,4,low,F,8,5376
8438,F,Ship,5,1,267,4,low,M,5,5792
8439,A,Ship,6,5,246,5,high,F,3,4660
8440,B,Ship,4,1,284,4,low,F,4,4795
8441,C,Ship,3,3,142,6,medium,F,2,5748
8442,F,Ship,3,1,132,2,medium,M,2,4129
8443,D,Ship,3,5,252,2,high,M,4,4098
8444,F,Ship,4,1,243,3,high,F,5,5989
8445,A,Ship,6,4,281,3,low,F,7,5180
8446,B,Ship,3,5,142,2,low,M,6,5974
8447,C,Ship,3,1,209,2,low,F,2,4855
8448,F,Ship,3,3,157,4,medium,F,7,4487
8449,D,Ship,5,1,267,3,low,M,7,5789
8450,F,Ship,5,5,177,5,low,F,1,4379
8451,A,Ship,4,3,214,2,medium,F,6,4345
8452,B,Ship,4,3,247,3,low,F,4,4962
8453,C,Ship,3,1,268,4,low,M,10,5226
8454,F,Ship,5,3,242,3,medium,F,6,5013
8455,D,Ship,2,4,176,3,low,M,1,4509
8456,F,Ship,5,5,231,3,medium,F,10,5361
8457,A,Ship,3,5,124,2,medium,M,1,5709
8458,B,Ship,3,2,179,3,low,M,4,4102
8459,C,Ship,4,3,207,3,low,F,7,4220
8460,F,Ship,4,2,128,3,medium,M,7,5675
8461,D,Ship,3,5,167,2,medium,F,8,5083
8462,F,Ship,3,2,243,4,medium,M,5,4670
8463,A,Ship,4,5,252,4,low,F,6,4983
8464,B,Ship,4,1,202,2,medium,M,10,5428
8465,C,Ship,4,3,241,2,medium,M,3,4636
8466,F,Ship,4,5,182,2,medium,F,10,5098
8467,D,Ship,2,2,156,3,low,F,5,5628
8468,F,Road,4,4,266,3,low,F,6,5758
8469,A,Road,4,1,228,3,low,F,9,4678
8470,B,Road,4,5,210,4,low,M,3,5432
8471,C,Road,3,5,135,2,medium,M,7,5331
8472,F,Road,4,5,248,2,medium,M,4,4789
8473,D,Road,3,3,227,3,medium,M,3,5644
8474,F,Road,3,2,257,3,medium,M,2,5486
8475,A,Road,4,5,199,3,low,M,2,4462
8476,B,Road,4,3,232,2,low,M,1,5398
8477,C,Road,5,1,258,6,low,F,7,4344
8478,F,Road,5,1,268,3,medium,F,5,5663
8479,D,Road,3,4,260,5,low,M,2,4461
8480,F,Road,4,2,190,2,medium,F,1,4020
8481,A,Road,5,5,176,3,medium,F,8,5335
8482,B,Road,3,2,227,2,low,M,10,5401
8483,C,Road,6,4,150,5,medium,F,8,4709
8484,F,Road,3,2,160,2,high,M,4,4376
8485,D,Road,6,3,113,2,medium,F,4,5130
8486,F,Road,5,1,145,3,low,F,5,5019
8487,A,Road,4,4,206,3,low,M,2,5572
8488,B,Road,3,1,207,3,low,F,5,4643
8489,C,Road,3,3,133,2,medium,M,8,4241
8490,F,Flight,3,5,261,3,low,F,10,4224
8491,D,Flight,4,1,194,2,medium,F,1,4198
8492,F,Flight,3,1,244,3,medium,M,6,4062
8493,A,Flight,4,5,150,3,low,M,5,4512
8494,B,Flight,3,1,267,2,low,M,7,4486
8495,C,Flight,3,2,251,2,medium,F,4,4074
8496,F,Flight,4,2,185,3,low,M,8,4322
8497,D,Flight,2,1,112,5,low,F,1,4543
8498,F,Flight,3,2,264,4,medium,M,1,4877
8499,A,Flight,5,4,274,3,low,M,1,5017
8500,B,Flight,4,5,234,3,medium,F,10,4204
8501,C,Flight,3,1,157,2,medium,M,7,5560
8502,F,Flight,6,1,247,6,medium,F,6,4691
8503,D,Flight,5,1,179,2,high,M,8,5301
8504,F,Flight,3,1,202,2,medium,F,10,4412
8505,A,Flight,4,2,148,2,medium,M,3,4651
8506,B,Flight,5,1,183,6,medium,F,2,5082
8507,C,Flight,3,2,229,3,medium,M,9,4491
8508,F,Flight,3,4,196,4,low,M,5,4749
8509,D,Flight,3,3,264,3,low,F,6,5482
8510,F,Flight,3,2,233,4,medium,M,1,5886
8511,A,Flight,3,1,166,2,low,F,7,4375
8512,B,Ship,5,3,185,2,low,M,2,5420
8513,C,Ship,3,5,184,3,low,F,2,4357
8514,F,Ship,6,3,98,6,low,M,9,4787
8515,D,Ship,3,2,177,2,high,F,7,4764
8516,F,Ship,3,5,193,2,low,F,10,5776
8517,A,Ship,3,3,165,2,medium,M,1,4768
8518,B,Ship,4,4,183,4,low,F,6,4562
8519,C,Ship,4,4,161,3,low,M,2,5257
8520,F,Ship,2,1,238,2,low,F,4,4992
8521,D,Ship,3,5,191,4,low,M,4,4008
8522,F,Ship,3,2,165,3,low,M,6,5642
8523,A,Ship,3,5,233,2,medium,M,1,4913
8524,B,Ship,4,1,234,2,medium,M,4,5066
8525,C,Ship,4,1,252,3,medium,M,4,5540
8526,F,Ship,3,1,155,3,low,F,9,5539
8527,D,Ship,3,5,269,8,medium,M,8,4462
8528,F,Ship,4,5,224,2,low,M,8,5871
8529,A,Ship,5,3,230,3,medium,F,7,4844
8530,B,Ship,4,5,253,3,low,F,9,4205
8531,C,Ship,5,2,181,3,low,M,4,4323
8532,F,Ship,4,2,233,4,high,F,1,4316
8533,D,Ship,4,1,243,5,medium,F,1,4624
8534,F,Ship,5,4,271,2,medium,F,6,4801
8535,A,Ship,4,3,134,4,low,F,5,4507
8536,B,Ship,3,5,154,10,high,F,10,5282
